"MethodName","Patch","Compiled","AllTestsPassed","TotalExecutionTime(ms)","Fitness","FitnessImprovement"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","|","true","true","13572.808","13572.0","0.0"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.SwapLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":599 <-> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":592 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.DeleteLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":593 |","true","false","9217.684","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.ReplaceLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":508 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":587 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.SwapLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":586 <-> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":593 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.CopyLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":473 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":595 | gin.edit.line.CopyLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":123 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":603 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.DeleteLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":599 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.CopyLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":473 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":595 | gin.edit.line.ReplaceLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":41 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":603 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.DeleteLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":586 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.DeleteLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":599 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.ReplaceLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":140 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":600 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.CopyLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":12 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":592 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.CopyLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":509 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":589 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.SwapLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":598 <-> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":599 |","true","false","10801.506","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.ReplaceLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":88 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":587 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.ReplaceLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":506 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":597 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.DeleteLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":587 |","true","false","21754.514","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.line.CopyLine ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":605 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":588 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
